Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Shepherd's Bush),"Shepherd's Bush Station, Uxbridge Road, Shepherd's Bush, London, W12 8ND",Shepherd's Bush (Central),W12 8ND,51.5043576,-0.2183251
Greggs (Sidcup),"51 Sidcup High Street, Sidcup, Sidcup, DA14 6ED",Sidcup,DA14 6ED,51.4262711,0.1034656
Greggs (Silver Street),"124 Fore Street, Silver Street, London, N18 2XA",Silver Street,N18 2XA,51.613208,-0.0645476
Greggs (Victoria),"Victoria Coach Station, Buckingham Palace Road, Victoria, London, SW1W 9TP",Sloane Square,SW1W 9TP,51.4925312,-0.1489272
Greggs (Rotherhithe),"1A Ilderton Road, Rotherhithe, London, SE16 3JU",South Bermondsey,SE16 3JU,51.4882467,-0.0575473
Greggs (Greenford),"16 The Broadway, Greenford, Greenford, UB6 9PR",South Greenford,UB6 9PR,51.52791,-0.35282
Greggs (Ruislip Manor),"708 Field End Road, Ruislip Manor, Ruislip, HA4 0QP",South Ruislip,HA4 0QP,51.5603088,-0.3809633
Greggs (South Woodford),"168 George Lane, South Woodford, London, E18 1AY",South Woodford,E18 1AY,51.5941346,0.0241842
Greggs (Southall),"43 The Broadway, Southall, Southall, UB1 1JY",Southall,UB1 1JY,51.5112655,-0.3785455
Greggs (Enfield Lock),"188 Hertford Road, Enfield Lock, Enfield, EN3 5AZ",Southbury,EN3 5AZ,51.6567459,-0.0476348
Greggs (Ponders End),"9a, Enfield Retail Park, Crown Road, Ponders End, Enfield, EN1 1TH",Southbury,EN1 1TH,51.6532829,-0.0572851
Greggs (Southfields),"8 Replingham Road, Southfields, London, SW18 5LS",Southfields,SW18 5LS,51.4446418,-0.2055628
Oakwood,"58 Chase Side, Osidge, London, N14 5PA",Southgate,N14 5PA,51.6328978,-0.1286531
Greggs (Orpington),"19, Nugent Shopping Park, Cray Avenue, Orpington, Orpington, BR5 3RP",St Mary Cray,BR5 3RP,51.392913,0.1126541
